"ID" "Grain_width"
"MZ001" 2.85
"MZ002" 2.7
"MZ003" 2.8
"MZ004" 2.9
"MZ005" 3.2
"MZ006" 2.8
"MZ007" 2.75
"MZ008" 2.75
"MZ009" 2.9
"MZ010" 3.35
"MZ011" 2.9
"MZ012" 3.4
"MZ013" 3.4
"MZ014" 3
"MZ015" 3.05
"MZ016" 2.85
"MZ017" 3.05
"MZ018" 3.2
"MZ019" 3.25
"MZ020" 3.35
"MZ021" 3.55
"MZ022" 3.05
"MZ023" 2.75
"MZ024" 3
"MZ025" 3
"MZ026" 2.9
"MZ027" 3.35
"MZ028" 2.95
"MZ029" 3.1
"MZ030" 3
"MZ031" 3.15
"MZ032" 2.65
"MZ033" 3
"MZ034" 3
"MZ035" 2.75
"MZ036" 3
"MZ037" 2.9
"MZ038" 3.15
"MZ039" 2.7
"MZ040" 2.9
"MZ041" 2.8
"MZ042" 3.05
"MZ043" 3.15
"MZ044" 2.85
"MZ045" 3.3
"MZ046" 3.15
"MZ047" 2.85
"MZ048" 2.9
"MZ049" 2.85
"MZ050" 3
"MZ051" 3.15
"MZ052" 2.6
"MZ053" 2.8
"MZ054" 3.15
"MZ055" 2.7
"MZ056" 2.6
"MZ057" 3.05
"MZ058" 2.9
"MZ059" 3.15
"MZ060" 2.65
"MZ061" 3.2
"MZ062" 3.2
"MZ063" 3.3
"MZ064" 3.25
"MZ065" 3.2
"MZ066" 2.85
"MZ067" 2.8
"MZ068" 3.35
"MZ069" 2.9
"MZ070" 2.85
"MZ071" 3.2
"MZ072" 3.05
"MZ073" 3.1
"MZ074" 3.1
"MZ075" 2.9
"MZ076" 2.9
"MZ077" 2.95
"MZ078" 3.15
"MZ079" 2.8
"MZ080" 3.4
"MZ081" 3.05
"MZ082" 3
"MZ083" 3.3
"MZ084" 2.75
"MZ085" 2.9
"MZ086" 2.8
"MZ087" 2.85
"MZ088" 2.15
"MZ089" 2.5
"MZ090" 3.1
"MZ091" 3
"MZ092" 3.2
"MZ093" 3.15
"MZ094" 3.45
"MZ095" 2.7
"MZ096" 2.55
"MZ097" 2.9
"MZ098" 2.9
"MZ099" 2.85
"MZ100" 2.9
"MZ101" 3.3
"MZ102" 2.9
"MZ103" 2.7
"MZ104" 2.9
"MZ105" 3.05
"MZ106" 3.2
"MZ107" 3.35
"MZ108" 3.2
"MZ109" 2.8
"MZ110" 2.95
"MZ111" 2.5
"MZ112" 2.75
"MZ113" 2.95
"MZ114" 3.1
"MZ115" 2.95
"MZ116" 2.7
"MZ117" 2.85
"MZ118" 2.6
"MZ119" 3.35
"MZ120" 2.95
"MZ121" 2.8
"MZ122" 3.15
"MZ123" 2.65
"MZ124" 2.95
"MZ125" 3
"MZ126" 2.9
"MZ127" 3.1
"MZ128" 2.8
"MZ129" 2.55
"MZ130" 3.3
"MZ131" 3.2
"MZ132" 3.3
"MZ133" 2.9
"MZ134" 3.25
"MZ135" 2.85
"MZ136" 3.15
"MZ137" 3
"MZ138" 2.8
"MZ139" 3.3
"MZ140" 2.75
"MZ141" 2.95
"MZ142" 2.85
"MZ143" 2.95
"MZ144" 2.6
"MZ145" 2.7
"MZ146" 3.4
"MZ147" 3.3
"MZ148" 3.15
"MZ149" 3.15
"MZ150" 2.7
"MZ151" 3.05
"MZ152" 3.4
"MZ153" 3.3
"MZ154" 3.1
"MZ155" 2.6
"MZ156" 2.85
"MZ157" 2.7
"MZ158" 3.1
"MZ159" 3.3
"MZ160" 3.15
"MZ161" 3.1
"MZ162" 3.25
"MZ163" 2.9
"MZ164" 3.2
"MZ165" 2.95
"MZ166" 3.3
"MZ167" 3.2
"MZ168" 2.95
"MZ169" 3
"MZ170" 3.25
"MZ171" 2.75
"MZ172" 3.1
"MZ173" 3.1
"MZ174" 3.1
"MZ175" 3.3
"MZ176" 2.9
"MZ177" 3.15
"MZ178" 2.85
"MZ179" 3.1
"MZ180" 3.25
"MZ181" 2.95
"MZ182" 3
"MZ183" 3
"MZ184" 3.15
"MZ185" 2.85
"MZ186" 2.75
"MZ187" 3.05
"MZ188" 3.15
"MZ189" 2.9
"MZ190" 2.8
"MZ191" 2.7
"MZ192" 2.7
"MZ193" 2.8
"MZ194" 3.15
"MZ195" 2.85
"MZ196" 3.3
"MZ197" 3.2
"MZ198" 2.8
"MZ199" 3.2
"MZ200" 3.2
"MZ201" 3.2
"MZ202" 2.9
"MZ203" 3.15
"MZ204" 2.6
"MZ205" 2.9
"MZ206" 3.1
"MZ207" 3.2
"MZ208" 3.25
"MZ209" 3
"MZ210" 3.2
"MZ211" 3.05
"MZ212" 2.9
"MZ213" 3.2
"MZ214" 2.9
"MZ215" 2.8
"MZ216" 2.95
"MZ217" 2.25
"MZ218" 2.9
"MZ219" 3.15
"MZ220" 2.9
"MZ221" 2.95
"MZ222" 3.4
"MZ223" 3.55
"MZ224" 2.85
"MZ225" 3.15
"MZ226" 2.85
"MZ227" 3.35
"MZ228" 3.3
"MZ229" 3.25
"MZ230" 2.9
"MZ231" 3.1
"MZ232" 3.05
"MZ233" 2.8
"MZ234" 2.75
"MZ235" 3.05
"MZ236" 2.65
"MZ237" 2.55
"MZ238" 3.1
"MZ239" 3.25
"MZ240" 3.45
"MZ241" 3.4
